performanceIndex,measure,occurrence,timeSeconds
201,77,2,167.033
202,78,2,167.867
203,79,2,168.600
204,80,2,169.333
205,81,2,169.967
206,82,2,170.867
207,83,2,171.433
208,84,2,172.367
209,85,2,173.100
210,86,2,173.878
211,87,2,174.844
212,88,2,175.600
213,89,2,176.156
214,90,2,176.922
